"tfName","nOperons","nTargets","l2rm_mean","sd_l2r_mean","l2rm_max","sd_l2r_max","l2rm_sum","sd_l2r_sum","l2rm_prod","sd_l2r_prod","l2rm_geom","sd_l2r_geom","mse_mean","mse_max","mse_sum","mse_prod","mse_geom","dominantFunc","dominantFreq","dominantTie","bestGuessMSE","frequencyBestGuessMSE"
"IlvY",2,2,-0.457345338959501,0.400257646476223,0.0209464285714286,0.0629114251334225,0.542654661040499,0.400257646476223,-2.78877380952381,2.48115183967558,-0.844151785714286,0.803819472759407,0.0160234942149749,0.00195259052308997,0.426977789855884,0.067690031284495,0.0356885777633518,"max",0.821428571428571,FALSE,"max",0.821428571428571
"KdgR",1,2,0.144346916950949,1.02145051000069,0.532172619047619,0.94577215544984,1.14434691695095,1.02145051000069,-0.490690476190476,1.97567210712679,-0.0763541666666667,1.2366150744584,0.785647258424354,2.10320350681242,3.47384138617735,2.30147438826851,0.504339167780316,"geom",0.291666666666667,FALSE,"geom",0.291666666666667
"KdpE",1,4,0.0458924888271766,0.246082889502579,0.289446428571429,0.318209883641361,2.04589248882718,0.246082889502579,0.0272678571428571,0.581012150853742,0.0246696428571428,0.23961689782989,0.0298947968821302,0.122748301628239,9.72027005608402,0.198623940141511,0.0273915131959969,"geom",0.422619047619048,FALSE,"geom",0.422619047619048
"LacI",1,3,-0.0644570600868593,0.208471580458016,0.0331607142857143,0.243664890385694,1.5205054406343,0.208471580458016,-0.0663690476190476,0.351629083963355,-0.0699761904761904,0.204282306886225,0.0277021648067034,0.053054706221202,3.94455090235168,0.0831761304964875,0.0264368864472031,"max",0.482142857142857,FALSE,"geom",0.339285714285714
"LldR",1,3,0.00150828169423138,0.195894579680201,0.157440476190476,0.327417013344324,1.58647078241539,0.195894579680202,-0.134732142857143,0.648735199415486,-0.0247123015873016,0.159764234669199,0.0124832895469868,0.0290877667969774,3.92241215859944,0.0284956665666599,0.0136157538447239,"max",0.44047619047619,FALSE,"mean",0.101190476190476
"LrhA",4,5,0.103738873470718,0.55706709763787,0.472029761904762,0.333398260803097,2.42566696835808,0.55706709763787,-0.534875,0.824697253015758,-0.0513559523809525,1.20875726025363,1168.56486292883,0.124483825037018,14.0835848872579,1487.0341143573,1813.58881856553,"geom",0.517857142857143,FALSE,"max",0.172619047619048
"LysR",2,2,-0.367810947014098,0.331916788355863,0.0272380952380952,0.11665313946589,0.632189052985902,0.331916788355863,-2.90410714285714,2.5547993887183,-0.56158630952381,0.562008321365887,0.0088468796064433,0.00392087360824891,0.419304164626636,0.0208482517524645,0.0125002380377852,"max",0.869047619047619,FALSE,"max",0.869047619047619
"MalI",2,3,-0.0469440658882805,0.272021681054655,0.178642857142857,0.258333171261113,1.53801843483288,0.272021681054656,0.0368690476190476,0.267562663979812,-0.0671547619047619,0.279668309128655,0.0521753539308943,0.0441545732043264,4.22340529071876,0.0466884851208924,0.0591579741847223,"max",0.482142857142857,FALSE,"max",0.482142857142857
"MelR",2,3,0.0090224877428325,0.119737876350651,0.0996904761904762,0.125837122764469,1.59398498846399,0.119737876350651,0.025922619047619,0.134690107706756,0.00575595238095238,0.120192584835284,0.0076854624973022,0.0114117080620393,4.09695694546289,0.0102331769310565,0.0079571631356335,"max",0.428571428571429,FALSE,"mean",0.0595238095238095
"MhpR",1,6,-0.00907586862764345,0.259997740671107,0.204529761904762,0.280099296456439,2.57588663209351,0.259997740671107,-0.01925,0.506454539518408,-0.018828373015873,0.260077174831104,0.038142607379046,0.0658608253808323,25.3310648459982,0.219382116974069,0.038586387744387,"geom",0.339285714285714,FALSE,"mean",0.136904761904762
